variable,count,missing,mean,std,min,p25,median,p75,max,skew,kurt,cv_%
rig_state_ohio,155,0,17.917,10.245,4.25,10.775,12.75,23.0,46.0,1.094,0.157,57.179
rig_state_oklahoma,155,0,88.926,56.994,10.0,43.2,65.6,129.05,213.5,0.648,-0.758,64.092
rig_state_oregon,155,0,0.011,0.1,0.0,0.0,0.0,0.0,1.0,8.984,81.262,886.502
rig_state_pennsylvania,155,0,31.526,14.584,13.25,19.5,24.75,42.325,71.4,0.804,-0.49,46.259
rig_state_saskatchewan,155,0,32.155,19.65,1.0,19.375,32.75,40.1,88.75,0.528,0.185,61.108
rig_state_south_dakota,155,0,0.145,0.403,0.0,0.0,0.0,0.0,2.0,2.888,7.847,278.649
rig_state_texas,155,0,420.358,216.97,104.75,275.025,366.0,495.0,903.75,1.038,0.085,51.615
rig_state_utah,155,0,11.154,7.854,0.0,6.0,10.0,12.5,33.5,1.161,0.684,70.416
rig_state_virginia,155,0,0.062,0.214,0.0,0.0,0.0,0.0,1.0,3.604,12.055,344.855
rig_state_west_virginia,155,0,14.836,7.128,5.0,10.0,13.2,17.575,37.0,1.14,0.811,48.047
rig_state_wyoming,155,0,23.855,14.513,0.75,14.75,20.2,30.2,61.4,0.8,-0.011,60.839
rig_traj_directional,155,0,88.707,72.372,17.75,50.475,59.6,81.875,303.75,1.672,1.401,81.586
rig_traj_horizontal,155,0,872.654,339.555,247.0,660.7,812.0,1016.475,1736.5,0.685,0.122,38.911
rig_traj_other,155,0,0.02,0.116,0.0,0.0,0.0,0.0,1.25,8.511,84.138,571.655
rig_traj_vertical,155,0,114.705,149.646,9.6,23.75,57.25,101.0,605.75,1.786,1.769,130.461
us_production_mbbld,155,0,10873.219,1916.53,7083.0,9229.5,11225.0,12630.5,13864.0,-0.182,-1.212,17.626
fed_funds,155,0,1.697,1.894,0.05,0.1,0.79,2.49,5.33,0.863,-0.805,111.553
unemployment,155,0,4.974,1.731,3.4,3.8,4.3,5.65,14.8,2.57,9.61,34.797
indpro,155,0,100.354,2.541,84.562,99.412,100.755,101.471,104.1,-3.028,15.671,2.532
cpi,155,0,265.888,30.24,231.679,238.536,255.296,295.723,325.063,0.673,-1.062,11.373
ppi,155,0,217.921,29.11,181.3,194.85,203.8,253.317,280.251,0.603,-1.314,13.358
ng_price,155,0,3.271,1.301,1.49,2.545,2.95,3.8,8.81,1.813,4.181,39.79
recession,155,0,0.013,0.113,0.0,0.0,0.0,0.0,1.0,8.717,74.947,877.478
t_bill_3m,155,0,1.674,1.888,0.02,0.065,0.8,2.88,5.34,0.822,-0.872,112.783
treasury_2y,155,0,1.882,1.599,0.12,0.46,1.34,3.385,5.07,0.608,-1.113,84.941
treasury_10y,155,0,2.605,1.047,0.62,1.87,2.42,3.305,4.8,0.293,-0.692,40.177
sp500,155,0,3325.788,1381.429,1498.11,2101.35,2913.98,4246.08,6849.09,0.745,-0.426,41.537
sp500_ret_m,155,0,1.101,4.099,-12.512,-1.269,1.792,3.547,12.684,-0.467,0.838,372.235
wti_mom_pct,155,0,0.325,10.606,-42.808,-5.499,1.306,5.49,52.844,0.408,7.109,3263.409
cpi_mom_pct,155,0,0.22,0.272,-0.792,0.078,0.224,0.335,1.256,0.314,3.3,123.259
ppi_mom_pct,155,0,0.174,1.101,-3.936,-0.486,0.101,0.731,3.212,-0.058,1.417,631.672
